var_set,variable
set_A,ind_prod
set_A,cpi
set_A,ib_rate
set_B,ind_prod
set_B,cpi
set_B,ib_rate
set_B,m2
set_B,reer
set_B,oil_price
set_C,employment
set_C,ind_prod
set_C,cpi
set_C,ib_rate
set_C,lend_rate
set_C,real_income
set_C,unemp_rate
set_C,oil_price
set_C,ppi
set_C,construction
set_C,real_investment
set_C,wage
set_C,m2
set_C,reer
set_C,gas_price
set_C,nfa_cb
set_C,ner
set_C,labor_request
set_C,agriculture
set_C,retail
set_C,gov_balance
set_C,export
set_C,import
