var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13
2.27053601140383,4.96900799942281,4.75,0.622867841881103,100.541,100.4583,6.7,6.5,30.6961333040228,2.14140698539609,-0.220644010283522,13.5125013808935,7.62
3.10760750935017,2.95204291904909,5.38,-2.33475545043866,100.6703,100.5224,6,5.8,14.9116613963081,26.9629425034452,-12.355221110937,12.356820083108,7.44
1.1644116350773,2.93041603682926,3,18.1453534292942,102.4192,101.6651,5.89,5.5,-22.4685583389238,-72.7882910530056,-9.79311587063378,9.7008455864259,7.22
7.06508945348645,2.90910373163182,4,22.4297648049989,104.3759,103.0728,6.12,6.1,63.9934961091811,67.7458637248428,-13.5827417277653,12.8727435493914,7.24
9.15648370016484,2.88809918939474,4.5,2.61270060908156,105.1967,102.9091,6.15,6.2,-2.81301769028701,0.364169426389083,-2.78493632920096,8.21454142128388,7.21
3.66921857527274,3.81864475343203,4.88,15.3393209499903,106.4553,105.1144,6.54,5.4,22.314860380218,28.3207137779989,-3.56995389972923,15.8721342807734,7.24
6.58798441730326,3.78253409681424,5.5,28.9830399527489,107.4536,107.7865,6.41,4.8,33.5182781441652,27.9038805183376,3.11404412050038,11.8500401416508,7.11
9.72851823980605,8.38214607039518,7.38,-19.961663234011,106.7204,107.119,6.73,5.2,20.4299085727229,50.3989103036609,-31.6624416772679,6.33694044357895,7.31
4.50975978529868,7.30613919091727,8.88,-23.8736874713759,104.4543,104.4121,6.94,5.4,17.7081062872219,38.992213853043,-10.8096653212964,8.20859584642974,7.4
-2.17966979755602,8.94891910181332,10.82,18.7429132694259,102.5529,104.743,6.9,4.7,19.2076357631997,37.2401396997908,-6.85584892150395,3.75698469740016,7.6
3.71362846612868,9.61794970160099,9.83,-38.9339543845061,101.3804,104.9581,6.9,4.6,38.804143543441,42.3151830113987,7.66666000993901,7.40982692840575,7.73
-3.33667415965309,12.7534713620888,9.95,-11.3186195229787,100.081,103.1163,7.41,5.3,69.2601307868749,33.2693218413169,-13.4535673698899,6.71006768496234,8.11
