employment,ind_prod,cpi,ib_rate,lend_rate,real_income,unemp_rate,oil_price,ppi,construction,real_investment,wage,m2,reer,gas_price,nfa_cb,ner,labor_request,agriculture,retail,gov_balance,export,import,time_y
113.19899913955,67.4870519269532,28.7696183417051,6.33764507348791,28.6398760852886,78.9278148114135,10.9926182480165,36.2258999002098,27.2032636867905,2337.5117492886,109.050493468246,65.9518682457639,765.662225386711,46.3901891474929,3.06,12.31737324919,28.1749290563387,759.427762182389,180.756689268317,104.431507829997,6.97887860077086,8732995827.04747,3427733579.98928,2000.16666666667
113.188006428685,74.5095048114255,29.0397578952729,11.7234582562113,28.2775106477026,77.3175615491639,10.7674989354664,28.3707206310237,27.8211654216653,2749.79197664294,109.328455667809,67.5550397560566,789.109317209973,47.2161625368637,3.24,13.6155269934763,27.9624147820462,788.303269466594,179.692959812967,104.148290326018,11.1271952062628,8742497586.03249,3437274929.97834,2000.25
113.37984394559,67.9112099530675,29.5824633554486,8.57743385563819,24.8071935648993,80.6440684856696,10.4625223468107,33.7263003934478,28.4593317942287,2878.8322054276,111.119295466807,67.9457896177794,828.052186791471,49.6068526863397,3.24,15.0894314882948,27.9251547692959,806.005254149997,181.073541176683,104.310359390468,20.5621772942044,8770247577.60948,3537204918.74591,2000.33333333333
113.465816884157,68.7550847299075,30.3033157326351,5.23165078387735,23.4103175187648,80.0972043838868,10.581251602638,37.6145215451173,29.0298800009775,2509.56659300941,113.359248513039,68.7191275365606,871.428962429189,49.6654783384433,3.24,16.645515853998,27.9325955484002,793.066154111261,183.468000294925,105.135926710697,23.2275760812566,8656765849.35757,3569547225.02126,2000.41666666667
113.592479852482,68.8322726047439,30.9384891876587,3.20394262078364,22.576661375687,79.9227736008938,10.5174894612619,35.5991815651579,29.9101677023669,2561.75981166904,112.294719883157,69.2273516230983,917.192582247331,51.200032466293,3.59,18.3046335666061,27.8958377809958,798.900466373592,173.13786712096,105.918030113563,9.57069216814558,8642196598.39829,3646991603.64422,2000.5
113.665869122467,68.5975959016706,31.5840009599844,4.69249842592976,20.9696084868974,79.8109586536306,10.2900108797481,36.0746424530113,30.4421438003262,2504.9316063719,114.847803216338,69.5059801639239,956.373845924202,53.8801047711895,3.59,19.5458587842606,27.941268232361,819.568855117488,179.062500908062,106.16703200579,16.0566131156692,8705532828.62009,3784013262.46301,2000.58333333333
113.667577414497,68.3164567173269,32.1787886582925,2.93931688147863,20.8715021664772,80.6839833172287,10.1244918671879,37.5460165584674,31.024452700309,2505.10100021095,113.806647401732,70.6017442753011,999.553599599187,56.7328174981505,3.59,21.0840072258443,28.1334512655327,833.244282422414,181.362473539123,106.419405302575,18.2364804914499,8897388799.4678,3947638932.4952,2000.66666666667
113.720470468012,68.6108563908134,32.8322877000815,4.67622095090791,20.1873694139078,79.4900297698408,9.85657941842186,37.955901367565,31.5643355652375,2414.67281790369,113.379295081894,71.3196516220933,1017.61624375105,58.3260581205789,3.93,22.0624157937376,28.1961360776617,847.590205859561,177.455537480063,106.689458595116,14.3231775189788,8854877072.30658,4006525744.02259,2000.75
113.750000873497,68.8393426989296,33.3177920908922,8.19878923192973,18.5414679827541,82.4808263479099,9.6504397549178,41.1929148176138,31.9522557011604,2372.59311653534,114.7469873797,72.8531081169888,1055.6247399278,59.144846016356,3.93,23.9849088726758,28.4065057394642,872.069310375313,176.685726866961,107.82679581651,19.7102884741038,9534841631.23977,4126695344.54104,2000.83333333333
113.730410636068,69.5410891280916,33.789303285601,7.26148868788845,18.9193745196936,80.9159002911069,9.59320261041254,33.8020282231477,32.5068224106266,2546.30561765549,111.672789558511,71.7652209520521,1090.2097895843,59.084345230629,3.93,25.0230584759235,28.5524716671733,871.590801064103,177.860172422908,109.197734320557,67.2854082601315,8944195886.55725,4168670437.65157,2000.91666666667
113.65679038716,70.083586064027,34.2753529029064,5.9958730334492,18.109276542026,81.2758678036302,9.50098628976923,33.7037639482165,33.0037654159067,2505.10365929511,114.794291190549,79.124410044647,1099.75812904674,59.0310700443559,4.22,27.7818683951937,28.7650226435472,886.773095394338,181.321629906268,109.531880601746,4.93439993951429,9486515019.75343,3787436268.25509,2001
